grade_level,content_area_code,standard_num,standard_code,standard_title,standard_text
1,1,1,1-1.1,Dinləyib-anlama,"Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir."
1,1,2,1-1.2,Dialoji nitq,Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.
1,1,3,1-1.3,Rabitəli nitq,Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.
1,1,4,1-1.4,Ədəbi dilin normaları və ekspressiv nitq,Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.
1,2,1,1-2.1,Səlis və ifadəli oxu,"Kiçik həcmli mətnləri sürətli, aydın, səlis oxuyur."
1,2,2,1-2.2,Faktoloji qavrama,Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.
1,2,3,1-2.3,Şərhetmə və əlaqələndirmə,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.
1,2,4,1-2.4,Tənqidi təfəkkür və yaradıcı yanaşma,Mətndəki fakt və hadisələrlə bağlı şəxsi münasibətini ifadə edir.
1,3,1,1-3.1,Yazı normaları,Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.
1,3,2,1-3.2,Yazı məqsədləri və tipləri,Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.
1,4,1,1-4.1,Orfoqrafiya,Dilin sadə fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.
1,4,2,1-4.2,Qrammatika,"Nitq vahidlərini (söz, cümlə) ümumi semantik mənalarına görə fərqləndirir."
1,4,3,1-4.3,Punktuasiya,Yazıda sadə punktuasiya qaydalarına əməl edir.
1,4,4,1-4.4,Leksika,Sözlərin mənalarını anladığını nümayiş etdirir.
2,1,1,2-1.1,Dinləyib-anlama,"Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir."
2,1,2,2-1.2,Dialoji nitq,Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.
2,1,3,2-1.3,Rabitəli nitq,Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.
2,1,4,2-1.4,Ədəbi dilin normaları və ekspressiv nitq,Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.
2,2,1,2-2.1,Səlis və ifadəli oxu,"Kiçik həcmli mətnləri sürətli, aydın, səlis oxuyur."
2,2,2,2-2.2,Faktoloji qavrama,Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.
2,2,3,2-2.3,Şərhetmə və əlaqələndirmə,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.
2,2,4,2-2.4,Tənqidi təfəkkür və yaradıcı yanaşma,Mətndəki fakt və hadisələrə şəxsi münasibətini ifadə edir.
2,3,1,2-3.1,Yazı normaları,Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.
2,3,2,2-3.2,Yazı məqsədləri və tipləri,Məqsədə uyğun olaraq müxtəlif tipli və formalı mətnlər yazır.
2,4,1,2-4.1,Orfoqrafiya,Dilin sadə fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.
2,4,2,2-4.2,Qrammatika,"Nitq vahidlərini (söz, cümlə) ümumi semantik mənalarına görə fərqləndirir."
2,4,3,2-4.3,Punktuasiya,Yazıda sadə punktuasiya qaydalarına əməl edir.
2,4,4,2-4.4,Leksika,Sözlərin mənalarını anladığını nümayiş etdirir.
3,1,1,3-1.1,Dinləyib- anlama,"Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir."
3,1,2,3-1.2,Dialoji nitq,Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.
3,1,3,3-1.3,Rabitəli nitq,Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.
3,1,4,3-1.4,Ədəbi dilin normaları və ekspressiv nitq,Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.
3,2,1,3-2.1,Səlis və ifadəli oxu,"Kiçik həcmli mətnləri sürətli, aydın, səlis oxuyur."
3,2,2,3-2.2,Faktoloji qavrama,Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.
3,2,3,3-2.3,Şərhetmə və əlaqələndirmə,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.
3,2,4,3-2.4,Tənqidi təfəkkür və yaradıcı yanaşma,Mətndəki fakt və hadisələrlə bağlı şəxsi münasibətini ifadə edir.
3,3,2,3-3.2,Yazı məqsədləri və tipləri,Məqsədə uyğun olaraq müxtəlif tipli və formalı mətnlər yazır.
3,4,1,3-4.1,Orfoqrafiya,Yazıda sadə orfoqrafiya qaydalarına əməl edir.
3,4,2,3-4.2,Qrammatika,"Nitq vahidlərini (söz, cümlə) ümumi semantik mənalarına görə fərqləndirir."
3,4,3,3-4.3,Punktuasiya,Yazıda sadə punktuasiya qaydalarına əməl edir.
4,1,1,4-1.1,Dinləyib- anlama,"Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir."
4,1,2,4-1.2,Dialoji nitq,Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.
4,1,4,4-1.4,Ədəbi dilin normaları və ekspressiv nitq,Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.
4,2,1,4-2.1,Səlis və ifadəli oxu,"Kiçik həcmli mətnləri sürətli, aydın, səlis oxuyur."
4,2,2,4-2.2,Faktoloji qavrama,Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.
4,2,3,4-2.3,Şərhetmə və əlaqələndirmə,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.
4,2,4,4-2.4,Tənqidi təfəkkür və yaradıcı yanaşma,Mətndəki fakt və hadisələrlə bağlı şəxsi münasibətini ifadə edir.
4,3,2,4-3.2,Yazı məqsədləri və tipləri,Məqsədə uyğun olaraq müxtəlif tipli və formalı mətnlər yazır.
4,4,2,4-4.2,Qrammatika,"Nitq vahidlərini (söz, cümlə) ümumi semantik mənalarına görə fərqləndirir."
4,4,3,4-4.3,Punktuasiya,Yazıda sadə punktuasiya qaydalarına əməl edir.
4,4,4,4-4.4,Leksika,Sözlərin mənalarını anladığını nümayiş etdirir.
5,1,1,5-1.1,Dinləyib-anlama,"Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir."
5,1,2,5-1.2,Dialoji nitq,Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.
5,1,3,5-1.3,Rabitəli nitq,Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.
5,1,4,5-1.4,Ədəbi dilin normaları və ekspressiv nitq,Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.
5,2,1,5-2.1,Faktoloji qavrama,Oxuduğu mətndəki məlumatları müəyyənləşdirir.
5,2,2,5-2.2,Şərhetmə və əlaqələndirmə,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.
5,2,3,5-2.3,Tənqidi təfəkkür və yaradıcı yanaşma,"Mətni ideya, məzmun, struktur və dil-üslub baxımından təhlil edir."
5,3,1,5-3.1,Yazı normaları,Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.
5,3,2,5-3.2,Yazı məqsədləri və tipləri,Məqsədə uyğun olaraq müxtəlif tipli və formalı mətnlər yazır.
5,4,2,5-4.2,Qrammatika,Fikrin dəqiq ifadə olunmasında sözlərin qrammatik formalarının və sintaktik konstruksiyaların
5,4,3,5-4.3,Punktuasiya,Yazıda sadə punktuasiya qaydalarına əməl edir.
5,4,4,5-4.4,Leksika,Sözlərin mənalarını anladığını nümayiş etdirir və üslubi xüsusiyyətlərini müəyyənləşdirir.
6,1,1,6-1.1,Dinləyib-anlama,"Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir."
6,1,2,6-1.2,Dialoji nitq,Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.
6,1,3,6-1.3,Rabitəli nitq,Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.
6,1,4,6-1.4,Ədəbi dilin normaları və ekspressiv nitq,Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.
6,2,1,6-2.1,Faktoloji qavrama,Oxuduğu mətndəki məlumatları müəyyənləşdirir.
6,2,2,6-2.2,Şərhetmə və əlaqələndirmə,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.
6,2,3,6-2.3,Tənqidi təfəkkür və yaradıcı yanaşma,"Mətni ideya, məzmun, struktur və dil-üslub baxımından təhlil edir."
6,3,1,6-3.1,Yazı normaları,Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.
6,3,2,6-3.2,Yazı məqsədləri və tipləri,Məqsədə uyğun olaraq müxtəlif tipli və formalı mətnlər yazır.
6,4,1,6-4.1,Orfoqrafiya və orfoepiya,Sözlərdə sait və samitlərin tələffüz və yazılış qaydalarına riayət edir.
6,4,2,6-4.2,Qrammatika,Fikrin dəqiq ifadə olunmasında sözlərin qrammatik formalarının və sintaktik konstruksiyaların
6,4,3,6-4.3,Punktuasiya,Yazıda sadə punktuasiya qaydalarına əməl edir.
6,4,4,6-4.4,Leksika,Sözlərin mənalarını anladığını nümayiş etdirir və üslubi xüsusiyyətlərini müəyyənləşdirir.
7,1,2,7-1.2,Dialoji nitq,Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.
7,1,3,7-1.3,Rabitəli nitq,Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.
7,1,4,7-1.4,Ədəbi dilin normaları və ekspressiv nitq,Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.
7,2,1,7-2.1,Faktoloji qavrama,Oxuduğu mətndəki məlumatları müəyyənləşdirir.
7,2,2,7-2.2,Şərhetmə və əlaqələndirmə,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.
7,2,3,7-2.3,Tənqidi təfəkkür və yaradıcı yanaşma,"Mətni ideya, məzmun, struktur və dil-üslub baxımından təhlil edir."
7,3,1,7-3.1,Yazı normaları,Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.
7,3,2,7-3.2,Yazı məqsədləri və tipləri,Məqsədə uyğun olaraq müxtəlif tipli və formalı mətnlər yazır.
7,4,1,7-4.1,Orfoqrafiya və orfoepiya,Sözlərdə sait və samitlərin tələffüz və yazılış qaydalarına riayət edir.
7,4,3,7-4.3,Punktuasiya,Yazıda sadə punktuasiya qaydalarına əməl edir.
7,4,4,7-4.4,Leksika,Sözlərin mənalarını anladığını nümayiş etdirir və üslubi xüsusiyyətlərini müəyyənləşdirir.
8,1,1,8-1.1,Dinləyib-qavrama,"Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir."
8,1,3,8-1.3,Rabitəli nitq,Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.
8,1,4,8-1.4,Ədəbi dilin normaları və ekspressiv nitq,Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.
8,2,1,8-2.1,Faktoloji qavrama,Oxuduğu mətndəki məlumatları müəyyənləşdirir.
8,2,3,8-2.3,Tənqidi təfəkkür və yaradıcı yanaşma,"Mətni ideya, məzmun, struktur və dil-üslub baxımından təhlil edir."
8,3,1,8-3.1,Yazı normaları,Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.
8,3,2,8-3.2,Yazı məqsədləri və tipləri,Məqsədə uyğun olaraq müxtəlif tipli və formalı mətnlər yazır.
8,4,1,8-4.1,Orfoqrafiya və orfoepiya,Sözlərdə sait və samitlərin tələffüz və yazılış qaydalarına riayət edir.
8,4,2,8-4.2,Qrammatika,Fikrin dəqiq ifadə olunmasında sözlərin qrammatik formalarının və sintaktik konstruksiyaların
8,4,3,8-4.3,Punktuasiya,Yazıda sadə punktuasiya qaydalarına əməl edir.
8,4,4,8-4.4,Leksika,Sözlərin mənalarını anladığını nümayiş etdirir və üslubi xüsusiyyətlərini müəyyənləşdirir.
9,1,1,9-1.1,Dinləyib-qavrama,"Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir."
9,1,2,9-1.2,Dialoji nitq,Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.
9,1,3,9-1.3,Rabitəli nitq,Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.
9,1,4,9-1.4,Ədəbi dilin normaları və ekspressiv nitq,Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.
9,2,1,9-2.1,Faktoloji qavrama,Oxuduğu mətndəki məlumatları müəyyənləşdirir.
9,2,2,9-2.2,Şərhetmə və əlaqələndirmə,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.
9,2,3,9-2.3,Tənqidi təfəkkür və yaradıcı yanaşma,"Mətni ideya, məzmun, struktur və dil-üslub baxımından təhlil edir."
9,3,1,9-3.1,Yazı normaları,Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.
9,3,2,9-3.2,Yazı məqsədləri və tipləri,Məqsədə uyğun olaraq müxtəlif tipli və formalı mətnlər yazır.
9,4,1,9-4.1,Orfoqrafiya və orfoepiya,Sözlərdə sait və samitlərin tələffüz və yazılış qaydalarına riayət edir.
9,4,2,9-4.2,Qrammatika,Fikrin dəqiq ifadə olunmasında sözlərin qrammatik formalarının və sintaktik konstruksiyaların
9,4,3,9-4.3,Punktuasiya,Yazıda sadə punktuasiya qaydalarına əməl edir.
9,4,4,9-4.4,Leksika,Sözlərin mənalarını anladığını nümayiş etdirir və üslubi xüsusiyyətlərini müəyyənləşdirir.
10,1,1,10-1.1,Dinləyib-qavrama,"Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir."
10,1,2,10-1.2,Dialoji nitq,Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.
10,1,3,10-1.3,Rabitəli nitq,Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.
10,1,4,10-1.4,Ədəbi dilin normaları və ekspressiv nitq,Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.
10,2,1,10-2.1,Faktoloji qavrama,Oxuduğu mətndəki məlumatları müəyyənləşdirir.
10,2,2,10-2.2,Şərhetmə və əlaqələndirmə,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.
10,2,3,10-2.3,Tənqidi təfəkkür və yaradıcı yanaşma,"Mətni ideya, məzmun, struktur və dil-üslub baxımından təhlil edir."
10,3,1,10-3.1,Yazı normaları,Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.
10,3,2,10-3.2,Yazı məqsədləri və tipləri,Məqsədə uyğun olaraq müxtəlif tipli və formalı mətnlər yazır.
10,4,1,10-4.1,Orfoqrafiya və orfoepiya,Sözlərdə sait və samitlərin tələffüz və yazılış qaydalarına riayət edir.
10,4,2,10-4.2,Qrammatika,Fikrin dəqiq ifadə olunmasında sözlərin qrammatik formalarının və sintaktik konstruksiyaların
10,4,3,10-4.3,Punktuasiya,Yazıda sadə punktuasiya qaydalarına əməl edir.
10,4,4,10-4.4,Leksika,Sözlərin mənalarını anladığını nümayiş etdirir və üslubi xüsusiyyətlərini müəyyənləşdirir.
11,1,1,11-1.1,Dinləyib-qavrama,"Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir."
11,1,2,11-1.2,Dialoji nitq,Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.
11,1,3,11-1.3,Rabitəli nitq,Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.
11,1,4,11-1.4,Ədəbi dilin normaları və ekspressiv nitq,Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.
11,2,1,11-2.1,Faktoloji qavrama,Oxuduğu mətndəki məlumatları müəyyənləşdirir.
11,2,2,11-2.2,Şərhetmə və əlaqələndirmə,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.
11,2,3,11-2.3,Tənqidi təfəkkür və yaradıcı yanaşma,"Mətni ideya, məzmun, struktur və dil-üslub baxımından təhlil edir."
11,3,1,11-3.1,Yazı normaları,Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.
11,3,2,11-3.2,Yazı məqsədləri və tipləri,Məqsədə uyğun olaraq müxtəlif tipli və formalı mətnlər yazır.
11,4,1,11-4.1,Orfoqrafiya və orfoepiya,Sözlərdə sait və samitlərin tələffüz və yazılış qaydalarına riayət edir.
11,4,2,11-4.2,Qrammatika,Fikrin dəqiq ifadə olunmasında sözlərin qrammatik formalarının və sintaktik konstruksiyaların
11,4,3,11-4.3,Punktuasiya,Yazıda sadə punktuasiya qaydalarına əməl edir.
11,4,4,11-4.4,Leksika,Sözlərin mənalarını anladığını nümayiş etdirir və üslubi xüsusiyyətlərini müəyyənləşdirir.
